,query_id,hit_id,hit_eval,hit_bitscore,hit_description,accn
0,Mass_AKT_Aligned,NP_001014432.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
1,Mass_AKT_Aligned,NP_001014431.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
2,Mass_AKT_Aligned,NP_001369359.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
3,Mass_AKT_Aligned,NP_001369360.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
4,Mass_AKT_Aligned,NP_001369361.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
5,Mass_AKT_Aligned,NP_001369362.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
6,Mass_AKT_Aligned,NP_005154.2,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
7,Mass_AKT_Aligned,XP_047287025.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
8,Mass_AKT_Aligned,XP_047287030.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
9,Mass_AKT_Aligned,XP_047287026.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
10,Mass_AKT_Aligned,XP_047287027.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
11,Mass_AKT_Aligned,XP_047287031.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
12,Mass_AKT_Aligned,XP_047287029.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
13,Mass_AKT_Aligned,XP_047287028.1,0.0,1305.4,RAC-alpha serine/threonine-protein kin,GCF_000001405.40
14,Mass_AKT_Aligned,NP_001357003.1,0.0,1115.6,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
15,Mass_AKT_Aligned,NP_005456.1,0.0,1115.6,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
16,Mass_AKT_Aligned,XP_054184598.1,0.0,1115.6,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
17,Mass_AKT_Aligned,NP_001617.1,0.0,1107.3,RAC-beta serine/threonine-protein kina,GCF_000001405.40
18,Mass_AKT_Aligned,NP_001193658.1,0.0,1069.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
19,Mass_AKT_Aligned,NP_859029.1,0.0,1069.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
20,Mass_AKT_Aligned,XP_047273315.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
21,Mass_AKT_Aligned,XP_047275142.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
22,Mass_AKT_Aligned,XP_047276597.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
23,Mass_AKT_Aligned,XP_047278347.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
24,Mass_AKT_Aligned,XP_047280288.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
25,Mass_AKT_Aligned,XP_054184602.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
26,Mass_AKT_Aligned,XP_054184601.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
27,Mass_AKT_Aligned,XP_054184600.1,5e-303,1021.3,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
28,Mass_AKT_Aligned,NP_001229956.1,4.1e-300,1011.6,RAC-beta serine/threonine-protein kina,GCF_000001405.40
29,Mass_AKT_Aligned,NP_001229957.1,4.1e-300,1011.6,RAC-beta serine/threonine-protein kina,GCF_000001405.40
30,Mass_AKT_Aligned,XP_047271599.1,7.7e-288,970.8,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
31,Mass_AKT_Aligned,XP_054184599.1,7.7e-288,970.8,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
32,Mass_AKT_Aligned,NP_001317440.1,1.8e-267,903.2,RAC-beta serine/threonine-protein kina,GCF_000001405.40
33,Mass_AKT_Aligned,XP_024302660.1,9.7e-166,565.2,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
34,Mass_AKT_Aligned,XP_054184603.1,9.7e-166,565.2,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
35,Mass_AKT_Aligned,XP_011542316.1,1e-152,522.0,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
36,Mass_AKT_Aligned,XP_054184604.1,1e-152,522.0,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
37,Mass_AKT_Aligned,XP_024303706.1,2.4e-133,457.6,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
38,Mass_AKT_Aligned,XP_054184605.1,2.4e-133,457.6,RAC-gamma serine/threonine-protein kin,GCF_000001405.40
39,Mass_AKT_Aligned,NP_001186193.1,3.4e-111,384.0,serine/threonine-protein kinase Sgk2 [,GCF_000001405.40
40,Mass_AKT_Aligned,NP_057360.3,3.4e-111,384.0,serine/threonine-protein kinase Sgk2 [,GCF_000001405.40
41,Mass_AKT_Aligned,NP_733794.1,3.4e-111,384.0,serine/threonine-protein kinase Sgk2 [,GCF_000001405.40
