Unnamed: 0,query_id,hit_id,hit_eval,hit_bitscore,hit_description
0,Mass_AKT_Aligned,NP_001287353.1,3.1e-230,777.3,"Akt kinase, isoform D [Drosophila mela"
1,Mass_AKT_Aligned,NP_001287354.1,3.1e-230,777.3,"Akt kinase, isoform E [Drosophila mela"
2,Mass_AKT_Aligned,NP_732113.3,3.1e-230,777.3,"Akt kinase, isoform C [Drosophila mela"
3,Mass_AKT_Aligned,NP_732115.1,3.1e-230,777.3,"Akt kinase, isoform B [Drosophila mela"
4,Mass_AKT_Aligned,NP_732114.1,3.1e-230,777.3,"Akt kinase, isoform A [Drosophila mela"
5,Mass_AKT_Aligned,NP_001163767.1,1.4e-103,356.6,"protein C kinase 98E, isoform B [Droso"
6,Mass_AKT_Aligned,NP_001287576.1,1.4e-103,356.6,"protein C kinase 98E, isoform C [Droso"
7,Mass_AKT_Aligned,NP_001287577.1,1.4e-103,356.6,"protein C kinase 98E, isoform D [Droso"
8,Mass_AKT_Aligned,NP_524545.2,1.4e-103,356.6,"protein C kinase 98E, isoform A [Droso"
9,Mass_AKT_Aligned,NP_001097237.1,8.9e-103,353.9,"protein kinase N, isoform G [Drosophil"
10,Mass_AKT_Aligned,NP_001163095.1,8.9e-103,353.9,"protein kinase N, isoform H [Drosophil"
11,Mass_AKT_Aligned,NP_001188896.1,8.9e-103,353.9,"protein kinase N, isoform K [Drosophil"
12,Mass_AKT_Aligned,NP_001188897.3,8.9e-103,353.9,"protein kinase N, isoform S [Drosophil"
13,Mass_AKT_Aligned,NP_001188895.1,8.9e-103,353.9,"protein kinase N, isoform J [Drosophil"
14,Mass_AKT_Aligned,NP_001246220.1,8.9e-103,353.9,"protein kinase N, isoform M [Drosophil"
15,Mass_AKT_Aligned,NP_001246221.1,8.9e-103,353.9,"protein kinase N, isoform L [Drosophil"
16,Mass_AKT_Aligned,NP_001286242.1,8.9e-103,353.9,"protein kinase N, isoform O [Drosophil"
17,Mass_AKT_Aligned,NP_001286241.1,8.9e-103,353.9,"protein kinase N, isoform N [Drosophil"
18,Mass_AKT_Aligned,NP_001286243.1,8.9e-103,353.9,"protein kinase N, isoform P [Drosophil"
19,Mass_AKT_Aligned,NP_001286244.1,8.9e-103,353.9,"protein kinase N, isoform Q [Drosophil"
20,Mass_AKT_Aligned,NP_788294.1,8.9e-103,353.9,"protein kinase N, isoform E [Drosophil"
21,Mass_AKT_Aligned,NP_788290.1,8.9e-103,353.9,"protein kinase N, isoform B [Drosophil"
22,Mass_AKT_Aligned,NP_788291.1,8.9e-103,353.9,"protein kinase N, isoform C [Drosophil"
23,Mass_AKT_Aligned,NP_788292.1,8.9e-103,353.9,"protein kinase N, isoform F [Drosophil"
24,Mass_AKT_Aligned,NP_788293.2,8.9e-103,353.9,"protein kinase N, isoform D [Drosophil"
25,Mass_AKT_Aligned,NP_001097350.1,5.2e-94,324.8,"protein C kinase 53E, isoform C [Droso"
26,Mass_AKT_Aligned,NP_001246377.1,5.2e-94,324.8,"protein C kinase 53E, isoform D [Droso"
27,Mass_AKT_Aligned,NP_001246378.1,5.2e-94,324.8,"protein C kinase 53E, isoform E [Droso"
28,Mass_AKT_Aligned,NP_001261035.1,5.2e-94,324.8,"protein C kinase 53E, isoform F [Droso"
29,Mass_AKT_Aligned,NP_476682.1,5.2e-94,324.8,"protein C kinase 53E, isoform A [Droso"
30,Mass_AKT_Aligned,NP_725626.1,5.2e-94,324.8,"protein C kinase 53E, isoform B [Droso"
31,Mass_AKT_Aligned,NP_001036542.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform F ["
32,Mass_AKT_Aligned,NP_001036541.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform C ["
33,Mass_AKT_Aligned,NP_001036543.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform E ["
34,Mass_AKT_Aligned,NP_001188939.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform G ["
35,Mass_AKT_Aligned,NP_001260985.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform K ["
36,Mass_AKT_Aligned,NP_001260984.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform J ["
37,Mass_AKT_Aligned,NP_001260986.1,9.299999999999999e-94,324.0,"atypical protein kinase C, isoform L ["
